DrugID,Drug
2244,ETHAVERINE
2260,ETHYNYLCYTIDINE
2276,ETOPOSIDE
2277,ETOPOSIDE-PHOSPHATE
2278,ETORICOXIB
2280,ETP-45658
2288,EUPATILIN
2293,EVEROLIMUS
2296,EVODIAMINE
2298,EVP4593
2299,EW-7197
2303,EXATECAN-MESYLATE
2307,EXISULIND
2318,FALECALCITRIOL
2324,FANTOFARONE
2347,FENOFIBRATE
2353,FENRETINIDE
2356,FENTIAZAC
2369,FG-4592
2378,FILANESIB
2382,FINASTERIDE
2389,FIRSOCOSTAT
2395,FK-866
2401,FLI-06
2406,FLORFENICOL
2409,FLOXURIDINE
2410,FLT3-IN-1
2411,FLUBENDAZOLE
2414,FLUCYTOSINE
2419,FLUFENAMIC-ACID
2420,FLUMATINIB
2424,FLUMETHASONE
2427,FLUNISOLIDE
2429,FLUOCINOLONE-ACETONIDE
2430,FLUOCINONIDE
2433,FLUOROMETHOLONE-ACETATE
2439,FLUPIRTINE
2444,FLURBIPROFEN-AXETIL
2451,FLUTRIMAZOLE
2452,FLUVASTATIN
2454,FMOC-L-LEUCINE
2460,FORETINIB
2464,FORODESINE
2468,FOSAPREPITANT-DIMEGLUMINE
2473,FOSFOSAL
2476,FOSTAMATINIB
2489,FRAX486
2493,FRUQUINTINIB
2495,FTORAFUR
2504,FURAMIDINE
2511,FUTIBATINIB
2512,G-1
2514,G-749
2515,G007-LK
2526,GAL-021
2534,GAMBOGIC-ACID
2552,GDC-0068
2553,GDC-0077
2554,GDC-0084
2555,GDC-0152
2556,GDC-0349
2558,GDC-0623
2561,GDC-0879
2563,GDC-0941
2564,GDC-0980
2565,GDC-0994
2566,GEDUNIN
2568,GEFITINIB
2569,GELDANAMYCIN
2570,GEMCADIOL
2571,GEMCITABINE
2572,GEMCITABINE-ELAIDATE
2573,GEMFIBROZIL
2576,GENIPIN
2581,GENZ-123346
2590,GGTI-298
2592,GILTERITINIB
2600,GIVINOSTAT
2601,GK921
2607,GLESATINIB
2627,GMX1778
2631,GNF-7
2634,GOLGICIDE-A
2638,GOSSYPOL
2644,GPP-78
2665,GSK-3-INHIBITOR-IX
2668,GSK-J4
2670,GSK-LSD-1
2672,GSK1059615
2673,GSK1070916
2674,GSK1292263
2677,GSK1838705A
2679,GSK1904529A
2680,GSK2110183
2689,GSK2334470
2696,GSK269962
2706,GSK3117391
2708,GSK3326595
2710,GSK369796
2714,GSK461364
2718,GSK690693
2719,GSK9027
2720,GSK923295
2724,GUADECITABINE
2744,GW-438014A
2745,GW-441756
2748,GW-583340
2755,GW-843682X
2769,HALOBETASOL-PROPIONATE
2771,HALOFUGINONE
2775,HALOPROGIN
2778,HARRINGTONINE
2783,HECLIN
2794,HEXACHLOROPHENE
2797,HEXAMINOLEVULINATE
2802,HIGENAMINE
2805,HJC-0350
2806,HKI-357
2814,HOMOHARRINGTONINE
2825,HTH-01-015
2829,HYCANTHONE
2835,HYDROCORTISONE-ACETATE
2837,HYDROCORTISONE-HEMISUCCINATE
2838,HYDROCORTISONE-PHOSPHATE
2839,HYDROCORTISONE-VALERATE
2861,HYPOESTOXIDE
2863,I-BET-762
2864,I-BET151
2865,I-BRD9
2869,IACS-10759
2878,IBRUTINIB
2883,IBUPROXAM
2892,ICG-001
2905,ICOTINIB
2910,IDARUBICIN
2911,IDASANUTLIN
2919,IDOXURIDINE
2921,IDRONOXIL
2928,IKK-16
2930,IKK-2-INHIBITOR-V
2935,IMATINIB
2944,IMIDAZOACRIDINONE
2955,INARIGIVIR
2960,INCB-057643
2968,INDELOXAZINE
2969,INDIBULIN
2972,INDIRUBIN
2974,INDISULAM
2988,INOSINE
2993,INTEGRIN-ANTAGONIST-1
2994,INX-08189
3014,IPI-145
3025,IRINOTECAN
3033,ISEPAMICIN
3041,ISOFLUPREDONE-ACETATE
3062,ISPINESIB
3071,ITE
3074,ITRACONAZOLE
3085,IXAZOMIB-CITRATE
3087,JD-5037
3091,JIB04
3092,JK-184
3105,JNJ-40411813
3111,JNJ-64619178
3113,JNJ-7706621
3118,JTC-801
3120,JTE-607
3122,JW-55
3129,K-858
3131,K-RAS(G12C)-INHIBITOR-12
3135,K145
3146,KD-023
3147,KD025
3156,KF-38789
3157,KG-5
3162,KI-20227
3163,KI-8751
3172,KN-93
3175,KPT-185
3176,KPT-276
3177,KPT-9274
3179,KRCA-0008
3183,KU-0063794
3188,KW-2449
3189,KW-2478
3191,KX2-391
3213,L-755507
3215,L-778123
3250,LAPATINIB
3255,LASALOCID
3258,LATANOPROST
3263,LAZERTINIB
3265,LB42708
3266,LCL-161
3269,LDN-212854
3272,LDN193189
3274,LEDIPASVIR
3279,LENVATINIB
3286,LESTAURTINIB
3321,LGX818
3331,LIFIRAFENIB
3342,LINIFANIB
3345,LINSITINIB
3360,LITRONESIB
3364,LMI070
3376,LONAFARNIB
3393,LOVASTATIN
3399,LPA2-ANTAGONIST-1
3400,LRRK2-IN-1
3407,LUBIPROSTONE
3409,LUCITANIB
3417,LURASIDONE
3421,LUTEOLIN
3424,LX7101
3425,LXH254
3428,LY2090314
3433,LY2183240
3438,LY2334737
3444,LY2603618
3445,LY2606368
3448,LY2784544
3450,LY2801653
3454,LY2874455
3460,LY3009120
3461,LY3023414
3467,LY3214996
3468,LY3295668
3473,LY411575
3477,LYLAMINE
3486,MABUPROFEN
3487,MABUTEROL
3493,MADRASIN
3498,MALTOBIONIC-ACID
3504,MAPROTILINE
3510,MASITINIB
3514,MAVATREP
3516,MAXACALCITOL
3517,MAYTANSINOL-ISOBUTYRATE
3533,MEBENDAZOLE
3540,MECHLORETHAMINE
3547,MEDETOMIDINE
3548,MEDICA-16
3552,MEDROXYPROGESTERONE-ACETATE
3558,MEGESTROL-ACETATE
3564,MEK162
3571,MELPHALAN
3574,MENADIONE
3577,MEPACRINE
3593,MERCAPTOPURINE
3595,MERCK60
3596,MERICITABINE
3597,MERIMEPODIB
3598,MERTANSINE
3609,METARAMINOL
3610,METATINIB
3616,METHACHOLINE
3624,METHIAZOLE
3630,METHOTREXATE
3642,METHYLBENZETHONIUM-CHLORIDE
3670,MEVASTATIN
3676,MG-624
3677,MGCD-265
3686,MIDOSTAURIN
3692,MILADEMETAN
3695,MILTEFOSINE
3700,MIOCAMYCIN
3710,MITIGLINIDE
3712,MITOMYCIN-C
3713,MITOQUINONE
3715,MITOXANTRONE
3716,MIVEBRESIB
3717,MIVOBULIN
3732,MK-2206
3734,MK-2461
3740,MK-5108
3741,MK-571
3746,MK-8245
3748,MK-8745
3751,MK2-IN-1
3764,ML228
3775,ML786
3777,MLN0128
3780,MLN8054
3789,"MNS-(3,4-METHYLENEDIOXY-NITROSTYRENE)"
3828,MOZAVAPTAN
3830,MPI-0479605
3831,MPS-BAY-2A
3833,MPS1-IN-5
3835,MR-948
3839,MRS-1220
3844,MRX-2843
3846,MSDC-0160
3850,MUBRITINIB
3855,MYCOPHENOLATE-MOFETIL
3856,MYCOPHENOLIC-ACID
3901,NAMPT-IN-1
3906,NAPABUCASIN
3909,NAPHTHOQUINE-PHOSPHATE
3912,NAQUOTINIB
3913,NARASIN
3926,NAVITOCLAX
3956,NEMORUBICIN
3963,NERATINIB
3973,NEXTURASTAT-A
3980,NH125
3991,NICLOSAMIDE
4000,NIFENALOL
4003,NIFUROXAZIDE
4011,NIM811
4016,NINTEDANIB
4017,NIRAPARIB
4038,NM107
4041,NMS-873
4042,NMS-E973
4043,NMS-P715
4050,NOCODAZOLE
4061,NORETHINDRONE-ACETATE
4078,NQDI-1
4079,NS-018
4089,NSC-319726
4090,NSC-3852
4095,NSC-663284
4096,NSC-697923
4108,NU6027
4110,NUTLIN-3
4112,NVP-231
4113,NVP-ADW742
4114,NVP-AEW541
4115,NVP-AUY922
4116,NVP-BEZ235
4117,NVP-BGJ398
4118,NVP-BHG712
4119,NVP-BSK805
4122,NVP-HSP990
4123,NVP-TAE226
4124,NVP-TAE684
4142,OCTENIDINE
4150,ODM-201
4155,OGLEMILAST
4156,OGLUFANIDE
4159,OLAPARIB
4160,OLDA
4166,OLIGOMYCIN-A
4169,OLMUTINIB
4180,OMARIGLIPTIN
4182,OMBRABULIN
4189,OMTRIPTOLIDE
4190,ON-01500
4191,ON123300
4192,ONC201
4193,ONCRASIN-1
4194,ONDANSETRON
4195,ONO-4059
4214,ORIDONIN
4219,ORNIPRESSIN
4228,OSI-027
4229,OSI-420
4230,OSI-930
4232,OSIMERTINIB
4241,OTS514
4242,OTX015
4243,OUABAIN
4244,OXA-06
4256,OXF-BD-02
4259,OXIBENDAZOLE
4262,OXIPEROMIDE
4275,OXYPHENCYCLIMINE
4279,OXYTOCIN
4283,OZOLINONE
4284,P22077
4285,P276-00
4286,P5091
4289,PAC-1
4292,PACRITINIB
4298,PALBOCICLIB
4314,PANOBINOSTAT
4318,PAOPA
4319,PAPAVERINE
4325,PARBENDAZOLE
4327,PARDOPRUNOX
4331,PARICALCITOL
4337,PARTHENOLIDE
4338,PARTHENOLIDE-(-)
4347,PBT-1033
4351,PCI-29732
4352,PCI-34051
4354,PD-0325901
4359,PD-153035
4361,PD-161570
4362,PD-166285
4364,PD-168393
4366,PD-173074
4368,PD-184352
4369,PD-198306
4370,PD-318088
4371,PD-407824
4378,PEFICITINIB
4381,PELITINIB
4384,PEMETREXED
4393,PENTAMIDINE
4405,PERETINOIN
4411,PERIFOSINE
4416,PERUVOSIDE
4419,PEVONEDISTAT
4420,PEXIDARTINIB
4421,PEXMETINIB
4425,PF-03084014
4426,PF-03758309
4427,PF-03814735
4435,PF-04691502
4443,PF-05212384
4451,PF-06459988
4455,PF-06747775
4458,PF-06873600
4463,PF-429242
4464,PF-431396
4466,PF-477736
4471,PF-562271
4472,PF-573228
4473,PF-670462
4477,PFI-1
4480,PFK-015
4481,PFK-158
4488,PHA-680632
4490,PHA-793887
4491,PHA-848125
4519,PHENYLMERCURIC-ACETATE
4523,PHIKAN-083
4527,PHORTRESS
4536,PI-103
4537,PI-828
4538,PI3K-IN-2
4540,PI4KIII-BETA-INHIBITOR-1
4547,PICOLINIC-ACID
4558,PIK-75
4565,PIM-1-INHIBITOR-2
4566,PIM-447
4578,PINDOLOL-(-)
4615,PITAVASTATIN
4623,PKI-166
4627,PLINABULIN
4631,PLX4720
4632,PLX51107
4634,PLX8394
4635,PMPA
4647,POLYDATIN
4652,PONATINIB
4654,POSACONAZOLE
4659,POZIOTINIB
4660,PP-1
4662,PP-2
4663,PP242
4665,PPY-A
4667,PR-619
4670,PRALATREXATE
4689,PREDNISOLONE-ACETATE
4690,PREDNISOLONE-HEMISUCCINATE
4710,PRIRALFINAMIDE
4713,PRLX-93936
4714,PRN1008
4715,PRN1371
4728,PROFLAVINE-HEMISULFATE
4744,PROPOXYCAINE
4754,PROSCILLARIDIN-A
4762,PRT062070
4763,PRT062607
4780,PTC-028
4781,PTC-209
4782,PTEROSTILBENE
4783,PU-H71
4787,PUROMYCIN
4800,PYRIDOXAL
4804,PYRIMETHAMINE
4805,PYRINTEGRIN
4810,PYROTINIB
4813,Q-203
4841,R112
4842,R306465
4843,R406
4844,R547
4853,RADOTINIB
4854,RAF265
4855,RAF709
4869,RAUWOLSCINE
4870,RAVOXERTINIB
4876,REFAMETINIB
4889,REPOTRECTINIB
4893,RESIBUFOGENIN
4896,RESMINOSTAT
4898,RESVERATROL
4906,REVERSINE
4909,RG2833
4911,RG7112
4914,RGB-286638
4915,RGFP966
4920,RHODAMINE-123
4924,RIBOCICLIB
4930,RIFAMPIN
4932,RIFAPENTINE
4934,RIGOSERTIB
4955,RITA
4963,RKI-1447
4964,RMC-4550
4965,RN-1
4971,RO-106-9920
4982,RO-4987655
4984,RO-5126766
4987,RO-61-8048
4992,ROBLITINIB
4993,ROCILETINIB
4997,ROGARATINIB
5004,ROMIDEPSIN
5031,RS-16566
5041,RSV604
5042,RTA-408
5046,RUBITECAN
5049,RUCINOL
5053,RUTAECARPINE
5061,RX-3117
5063,RYUVIDINE
5074,S-TRITYL-L-CYSTEINE
5081,S63845
5097,SALINOMYCIN
5107,SANGIVAMYCIN
5108,SANGUINARIUM-CHLORIDE
5111,SAPACITABINE
5115,SAR131675
5116,SAR405
5117,SAR405838
5118,SAR407899
5119,SARACATINIB
5120,SARAFLOXACIN
5122,SARDOMOZIDE
5125,SARPOGRELATE
5127,SATRAPLATIN
5133,SB-203580
5134,SB-205384
5136,SB-216641
5138,SB-218078
5142,SB-225002
5143,SB-228357
5144,SB-2343
5145,SB-239063
5161,SB-505124
5162,SB-525334
5163,SB-590885
5164,SB-612111
5171,SB-743921
5172,SB-747651A
5174,SB-772077B
5175,SB-939
5178,SBI-115
5181,SC-144
5187,SCABERTOPIN
5193,SCH-58261
5194,SCH-900776
5204,SCRIPTAID
5221,SECLIDEMSTAT
5228,SELAMECTIN
5235,SELONSERTIB
5236,SELUMETINIB
5237,SEMAGACESTAT
5239,SEMAXANIB
5246,SERDEMETAN
5254,SETMELANOTIDE
5261,SGC-CBP30
5262,SGI-1027
5278,SILVER-SULFADIAZINE
5280,SIMUROSERTIB
5281,SIMVASTATIN
5283,SINEFUNGIN
5289,SIROLIMUS
5295,SITRAVATINIB
5298,SJG-136
5306,SKF-86002
5308,SKF-96365
5309,SKI-II
5310,SKLB-1028
5320,SN-38
5326,SNS-314
5327,SNX-2112
5328,SNX-5422
5330,SOBLIDOTIN
5352,SOGRAZEPIDE
5362,SOPHOCARPINE
5363,SORAFENIB
5372,SP-141
5373,SP-420
5375,SPARFLOXACIN
5382,SPERMINE
5387,SPIRONOLACTONE
5396,SR-1078
5402,SR-3306
5404,SR-3576
5409,SRC-KINASE-INHIBITOR-I
5411,SRT1720
5414,SSR-180711
5417,SSR240612
5420,ST-2825
5422,STA-5326
5426,STATTIC
5431,STF-118804
5432,STF-31
5438,SU014813
5439,SU11274
5441,SU3327
5457,SULCONAZOLE
5496,SULTOPRIDE
5500,SUNITINIB
5521,TA-01
5523,TACALCITOL
5524,TACEDINALINE
5532,TAK-063
5535,TAK-285
5536,TAK-593
5537,TAK-632
5540,TAK-733
5543,TAK-901
5544,TAK-960
5549,TALAZOPARIB
5559,TALTOBULIN
5567,TANDUTINIB
5568,TANESPIMYCIN
5572,TANSHINONE-IIA
5582,TASELISIB
5584,TASISULAM
5586,TASULDINE
5598,TC-A-2317
5613,TC-MPS1-12
5618,TC-S-7003
5629,TCS-21311
5630,TCS-2210
5635,TCS-HDAC6-20B
5643,TECALCET
5646,TEDIZOLID
5647,TEDIZOLID-PHOSPHATE
5652,TELATINIB
5669,TEMSIROLIMUS
5670,TEN-010
5676,TENIPOSIDE
5678,TENOFOVIR-ALAFENAMIDE
5680,TENOVIN-1
5683,TEPOXALIN
5689,TERBUTALINE
5697,TEROXIRONE
5700,TESTOLACTONE
5714,TETRAMETHYLTHIURAM-MONOSULFIDE
5716,TETRANDRINE
5722,TG-02
5724,TG-100713
5726,TG-101209
5727,TG-101348
5730,TGX-221
5731,TH-302
5732,TH588
5745,THIOGUANINE
5746,THIOMERSAL
5751,THIOSTREPTON
5754,THIRAM
5756,THONZONIUM
5758,THREO-2-METHYLISOCITRATE-(DL)
5762,THZ1-R
5763,THZ2
5790,TIOGUANINE
5794,TIOXOLONE
5796,TIPIFARNIB
5808,TIVANTINIB
5812,TMC647055
5815,TMS
5816,TNP-470
5824,TOLAMOLOL
5834,TOLONIUM
5848,TOPOTECAN
5853,TORIN-1
5854,TORIN-2
5855,TOSEDOSTAT
5859,TOZASERTIB
5863,TPCA-1
5865,TRABECTEDIN
5868,TRADIPITANT
5871,TRAMETINIB
5874,TRANEXAMIC-ACID
5893,TRETAZICAR
5894,TRETINOIN
5896,TRIAMCINOLONE
5897,TRIAMCINOLONE-ACETONIDE
5899,TRIAMTERENE
5900,TRIAPINE
5909,TRICIRIBINE
5910,TRICIRIBINE-PHOSPHATE
5916,TRIFLOXYSTROBIN
5919,TRIFLURIDINE
5923,TRILACICLIB
5931,TRIMETREXATE
5957,TRYPTANTHRIN
5966,TUCATINIB
5967,TUCIDINOSTAT
5973,TW-37
5979,TYRPHOSTIN-A9
5981,TYRPHOSTIN-AG-1478
5983,TYRPHOSTIN-AG-494
5989,U-0126
5992,U-18666A
6000,UBP-296
6003,UC-112
6006,UF-010
6010,UK-383367
6016,UNBS-5162
6019,UNC0631
6020,UNC0638
6026,UNC2025
6027,UNC2250
6034,UPAMOSTAT
6037,UPROSERTIB
6046,URMC-099
6062,VALNEMULIN
6065,VALRUBICIN
6068,VANDETANIB
6084,VE-822
6094,VEMURAFENIB
6103,VERDINEXOR
6109,VERUBULIN
6120,VINBLASTINE
6123,VINCRISTINE
6124,VINDESINE
6125,VINFLUNINE
6126,VINORELBINE
6130,VISOMITIN
6135,VLX600
6138,VOLASERTIB
6143,VORELOXIN
6145,VORINOSTAT
6149,VOXTALISIB
6153,VTP-27999
6155,VU0238429
6172,VX-11E
6175,VX-745
6178,WALRYCIN-B
6183,WAY-200070
6184,WAY-207024
6190,WAY-600
6196,WHI-P154
6197,WIKI4
6201,WNT-C59
6202,WORTMANNIN
6206,WR99210
6210,WYE-125132
6211,WYE-354
6212,WYE-687
6213,WZ-3146
6214,WZ-4002
6216,WZ8040
6220,XANOMELINE
6222,XAV-939
6232,XL147
6233,XL228
6234,XL388
6235,XL647
6236,XL888
6237,XMD17-109
6238,XMD8-92
6241,XYLOSE
6248,Y-320
6250,YC-1
6252,YK-4-279
6254,YM-155
6276,ZALEPLON
6282,ZANUBRUTINIB
6285,ZARDAVERINE
6287,ZCL-278
6302,ZIRITAXESTAT
6305,ZK-93423
6307,ZK811752
6312,ZM-306416
6318,ZOLANTIDINE
6330,ZOTAROLIMUS
6334,ZSTK-474
