DrugID,Drug
15,10-DEACETYLBACCATIN
17,10-HYDROXYCAMPTOTHECIN
25,1E-1-(2-HYDROXY-5-METHYLPHENYL)-1-DODECANONE-OXIME
29,"2,3-DCPE"
30,"2,4-DINITROPHENOL"
39,2-CYANOPYRIMIDINE
51,2-METHOXYESTRADIOL
81,3-DEAZANEPLANOCIN-A
82,3-DEAZAURIDINE
114,4E1RCAT
115,4SC-202
116,5'-CHLORO-5'-DEOXY-ENBA-(+/-)
141,7-CHLOROKYNURENIC-ACID
143,7-HYDROXYSTAUROSPORINE
153,9-AMINOACRIDINE
154,9-AMINOCAMPTOTHECIN
156,A-1070722
160,A-366
164,A-485
167,A-674563
170,A-784168
175,A-887826
177,A-939572
183,A66
190,ABAFUNGIN
191,ABAMETAPIR
193,ABBV-744
195,ABEMACICLIB
206,ABT-751
208,ABX464
215,AC-7954-(+/-)
216,AC1NDSS5
223,ACDPP
233,ACELARIN
238,ACESULFAME-POTASSIUM
258,ACIVICIN
268,ACTB-1003
272,ACY-1215
275,ADAPALENE
278,ADAROTENE
280,ADAVIVINT
282,ADEFOVIR-DIPIVOXIL
294,ADRAFINIL
299,AEE788
304,AFATINIB
328,AKBA
338,ALBENDAZOLE
346,ALECTINIB
348,ALEXIDINE
349,ALFACALCIDOL
357,ALISERTIB
369,ALMOREXANT
377,ALPELISIB
383,ALPHA-METHYLSEROTONIN
389,ALS-8176
406,AM-404
413,AMBAZONE
418,AMCINONIDE
423,AMETANTRONE
428,AMG-176
430,AMG-232
431,AMG-319
432,AMG-337
439,AMG-925
441,AMG-PERK-44
442,AMG319
443,AMG458
444,AMG900
459,AMINOPENTAMIDE
476,AMONAFIDE
490,AMRUBICIN
494,AMUVATINIB
504,ANAGRELIDE
514,ANGUIDINE
519,ANISOMYCIN
521,ANLOTINIB
529,ANTIMONYL
530,AP-18
532,AP26113
533,APABETALONE
544,API-1
558,APTO-253
559,APY-29
560,APY0201
568,AR-C155858
570,ARBIDOL
574,ARCYRIAFLAVIN-A
587,ARQ-092
588,ARQ-621
589,ARRY-334543
591,ARTEMISININ
592,ARTESUNATE
594,ARV-825
602,AS-703026
608,ASCIMINIB
618,ASP3026
621,AST-1306
625,ASTX660
629,AT-406
630,AT-7519
631,AT-9283
632,AT13148
634,AT7867
643,ATIPAMEZOLE
644,ATIPRIMOD
648,ATORVASTATIN
655,ATUVECICLIB
656,AURANOFIN
657,AURORA-A-INHIBITOR-I
660,AV-412
669,AVE-0991
673,AVITINIB
674,AVL-292
676,AVN-944
680,AXITINIB
688,AZ3146
690,AZ7550
691,AZ960
692,AZACITIDINE
694,AZAGUANINE-8
701,AZATHIOPRINE
703,AZD1080
710,AZD2014
711,AZD2461
712,AZD2858
715,AZD3514
716,AZD3759
718,AZD3965
725,AZD5153
726,AZD5363
728,AZD5582
729,AZD5991
731,AZD6738
736,AZD7762
738,AZD8055
740,AZD8330
742,AZD8835
743,AZD8931
762,BACAMPICILLIN
765,BAFETINIB
766,BAFILOMYCIN-A1
767,BAG-956
768,BAICALEIN
769,BAICALIN
775,BALOXAVIR
782,BANOXANTRONE
783,BARASERTIB
784,BARASERTIB-HQPA
786,BARDOXOLONE
787,BARDOXOLONE-METHYL
793,BATIMASTAT
796,BAY-11-7082
798,BAY-1251152
800,BAY-1895344
801,BAY-2402234
802,BAY-41-2272
805,BAY-61-3606
806,BAY-8002
808,BAY-87-2243
811,BAY-W-9798
812,BAY1125976
813,BAY1217389
827,BECLOMETHASONE-DIPROPIONATE
832,BELINOSTAT
833,BELIZATINIB
834,BELOTECAN
857,BENZETHONIUM
878,BERBERINE
882,BET-BAY-002
889,BETA-LAPACHONE
893,BETAMETHASONE
896,BETAMETHASONE-DIPROPIONATE
898,BETAMETHASONE-VALERATE
905,BETULINIC-ACID
912,BFH772
914,BGT226
917,BI-2536
919,BI-78D3
920,BI-847325
921,BI-D1870
926,BIBU-1361
927,BIBX-1382
937,BIIB021
949,BIRINAPANT
951,BIS(MALTOLATO)OXOVANADIUM(IV)
952,BISACODYL
954,BISINDOLYLMALEIMIDE-IX
960,BISPHENOL-A
962,BITOPERTIN
963,BIVALIRUDIN
964,BIX-01294
965,BIX-02188
971,BLU9931
973,BML-190
974,BML-284
976,BMS-191011
978,BMS-207940
979,BMS-214662
980,BMS-265246
983,BMS-345541
984,BMS-387032
986,BMS-536924
987,BMS-566419
990,BMS-599626
995,BMS-690514
996,BMS-707035
997,BMS-754807
1005,BMS-863233
1008,BMS-935177
1009,BMS-983970
1011,BMS-986142
1012,BMS-986158
1019,BNC105
1020,BNTX
1025,BORTEZOMIB
1026,BOS-172722
1028,BOSUTINIB
1034,BRD-K05804044-001-18-5
1035,BRD4770
1039,BREQUINAR
1042,BRICICLIB
1043,BRIGATINIB
1044,BRILLIANT-GREEN
1049,BRIVANIB-ALANINATE
1050,BRIVARACETAM
1060,BROMEBRIC-ACID
1070,BRONOPOL
1074,BROXURIDINE
1076,BRUCEANTIN
1118,BUTEIN
1131,BVD-523
1133,BVT-948
1135,BW-348U87
1141,BX-795
1142,BX-912
1144,C-021
1148,C188-9
1157,CABOZANTINIB
1162,CAFFEIC-ACID-PHENETHYL-ESTER
1164,CALCIFEDIOL
1167,CALCITRIOL
1174,CAMPTOTHECIN
1177,CANDESARTAN
1179,CANERTINIB
1189,CAPTAMINE
1192,CARAZOLOL
1206,CARBOXYAMIDOTRIAZOLE
1208,CARBOXYPYRIDINE-DISULFIDE
1217,CARMOFUR
1219,CARMUSTINE
1233,CASTANOSPERMINE
1240,CB-839
1243,CC-115
1246,CC-90003
1250,CCG-50014
1255,CCT128930
1256,CCT129202
1257,CCT137690
1258,CCT196969
1259,CCT245737
1261,CD-437
1268,CEDIRANIB
1311,CENTPROPAZINE
1312,CEP-32496
1314,CEP-37440
1315,CEP-40783
1316,CEPHALOMANNINE
1320,CEPHARANTHINE
1326,CETRIMONIUM
1328,CETYLPYRIDINIUM
1330,CEVIPABULIN
1332,CFI-400945
1333,CFI-402257
1340,CGM097
1352,CGP-57380
1355,CGP-74514
1358,CGS-15943
1363,CH-5183284
1365,CH5132799
1366,CH55
1371,CHIDAMIDE
1374,CHIR-98014
1375,CHIR-99021
1377,CHLORAMBUCIL
1382,CHLORHEXIDINE
1387,CHLORMIDAZOLE
1392,CHLOROPYRAMINE
1396,CHLOROXINE
1407,CHLORPROTHIXENE
1409,CHLORQUINALDOL
1417,CHR-6494
1431,CICLESONIDE
1432,CICLOPIROX
1437,CID-5458317
1465,CINOBUFOTALIN
1473,CIPARGAMIN
1488,CITARINOSTAT
1494,CK-101
1501,CLADRIBINE
1505,CLEBOPRIDE
1522,CLOBETASONE-BUTYRATE
1527,CLOFAZIMINE
1538,CLONIXIN-LYSINATE
1557,CMPD-1
1559,CNX-2006
1560,CNX-774
1564,COBIMETINIB
1565,COH29
1566,COLCHICINE
1572,COMBRETASTATIN-A-4
1578,COPANLISIB
1588,COSTUNOLIDE
1592,COTININE
1597,CP-339818
1601,CP-547632
1603,CP-673451
1613,CPI-0610
1617,CPI-203
1621,CPP
1624,CR8-(R)
1625,CREATINE
1635,CRIZOTINIB
1637,CROLIBULIN
1642,CRYSTAL-VIOLET
1646,CT7001
1652,CUDC-101
1653,CUDC-427
1654,CUDC-907
1656,CURCUMIN
1664,CX-5461
1665,CXD101
1670,CYC065
1671,CYC116
1677,CYCLOCYTIDINE
1685,CYCLOSPORINE
1686,CYCLOVALONE
1688,CYCLUC1
1696,CYPROTERONE-ACETATE
1699,CYT-997
1700,CYT387
1703,CYTOCHALASIN-B
1704,CYTOCHLOR
1705,CZC-54252
1708,D-157495
1709,D-3263
1711,D-64131
1721,DABRAFENIB
1722,DACARBAZINE
1723,DACINOSTAT
1725,DACOMITINIB
1743,DANUSERTIB
1750,DAPRODUSTAT
1752,DAPT
1760,DASATINIB
1764,DAUNORUBICIN
1772,DCEBIO
1777,DEBIO-0932
1781,DECITABINE
1785,DEFACTINIB
1786,DEFERASIROX
1788,DEFEROXAMINE-MESYLATE
1790,DEFOROLIMUS
1800,DELANZOMIB
1817,DEQUALINIUM
1819,DERAZANTINIB
1823,DESISOBUTYRYL-CICLESONIDE
1824,DESLANOSIDE
1829,DESONIDE
1830,DESOXIMETASONE
1837,DEXAMETHASONE
1838,DEXAMETHASONE-ACETATE
1848,DEXRAZOXANE
1858,DHBP
1862,DIANHYDROGALACTITOL
1872,DICHLORISONE-ACETATE
1888,DIENOGEST
1893,DIFLORASONE-DIACETATE
1896,DIFLUPREDNATE
1898,DIGITOXIGENIN
1901,DIGOXIN
1904,DIHYDROARTEMISININ
1916,DIM-C-PPHCO2ME
1928,DINACICLIB
1943,DIPHENYLENEIODONIUM
1948,DIPYRIDAMOLE
1954,DISULFIRAM
1963,DMH1
1978,DOLASTATIN-10
1992,DOVITINIB
1993,DOXAPRAM
1996,DOXERCALCIFEROL
1999,DOXORUBICIN
2000,DOXYCYCLINE
2002,DPC
2019,DROTAVERINE
2021,DROXINOSTAT
2026,DU-728
2045,E7820
2048,EBASTINE
2052,EC-144
2056,ECAMSULE-TRIETHANOLAMINE
2065,EDO-S101
2068,EDOXUDINE
2080,EFONIDIPINE
2083,EGF816
2091,ELACYTARABINE
2095,ELDECALCITOL
2097,ELESCLOMOL
2103,ELTANEXOR
2106,ELTROMBOPAG
2115,EMD534085
2132,ENCORAFENIB
2133,ENDO-IWR-1
2138,ENMD-2076
2146,ENTASOBULIN
2148,ENTINOSTAT
2149,ENTRECTINIB
2166,EPIRUBICIN
2171,EPOTHILONE-B
2172,EPOTHILONE-D
2181,EPZ-5676
2184,EPZ011989
2185,EPZ015666
2191,ERASTIN
2192,ERAVACYCLINE
2194,ERDAFITINIB
2198,ERIBULIN
2199,ERK5-IN-1
2200,ERLOTINIB
2202,ERTUGLIFLOZIN
2216,ESTETROL
2218,ESTRADIOL-3-O-SULFAMATE
2221,ESTRADIOL-CYPIONATE
2240,ETHACRIDINE-LACTATE-MONOHYDRATE
