DrugID,Drug
1003,Camptothecin
1004,Vinblastine
1005,Cisplatin
1006,Cytarabine
1007,Docetaxel
1008,Methotrexate
1009,Tretinoin
1010,Gefitinib
1011,Navitoclax
1012,Vorinostat
1013,Nilotinib
1014,Refametinib
1016,Temsirolimus
1017,Olaparib
1018,Veliparib
1019,Bosutinib
1020,Lenalidomide
1021,Axitinib
1022,AZD7762
1023,GW441756
1024,Lestaurtinib
1025,SB216763
1026,Tanespimycin
1029,Motesanib
1030,KU-55933
1031,Elesclomol
1032,Afatinib
1033,Vismodegib
1034,Staurosporine
1036,PLX-4720
1037,BX795
1038,NU7441
1039,SL0101
1042,Doramapimod
1043,JNK Inhibitor VIII
1046,Wee1 Inhibitor
1047,Nutlin-3a (-)
1048,Mirin
1049,PD173074
1050,ZM447439
1051,Alisertib
1052,RO-3306
1053,MK-2206
1054,Palbociclib
1057,Dactolisib
1058,Pictilisib
1059,AZD8055
1060,PD0325901
1061,SB590885
1062,Selumetinib
1067,CCT007093
1068,Obatoclax Mesylate
1069,EHT-1864
1072,Avagacestat
1073,5-Fluorouracil
1079,Dasatinib
1080,Paclitaxel
1083,Crizotinib
1084,Rapamycin
1085,Sorafenib
1086,BI-2536
1088,Irinotecan
1089,Oxaliplatin
1091,BMS-536924
1093,GSK1904529A
1096,Tozasertib
1129,PF-4708671
1131,PRIMA-1MET
1133,Serdemetan
1149,TW 37
1168,Erlotinib
1170,CCT-018159
1175,Rucaparib
1177,Niraparib
1179,MK-1775
1180,Dinaciclib
1190,Gemcitabine
1191,Bortezomib
1192,GSK269962A
1194,SB505124
1199,Tamoxifen
1200,Fulvestrant
1237,EPZ004777
1239,YK-4-279
1243,Piperlongumine
1248,Daporinad
1249,BMS-345541
1250,AZ960
1259,Talazoparib
1268,XAV939
1372,Trametinib
1373,Dabrafenib
1375,Temozolomide
1378,Bleomycin (50 uM)
1401,AZD5438
1428,IAP_5620
1441,AZD2014
1449,AZD1208
1463,AZD1332
1494,SN-38
1502,Bicalutamide
1507,Ruxolitinib
1510,Linsitinib
1511,Epirubicin
1512,Cyclophosphamide
1529,Pevonedistat
1549,Sapitinib
1553,Uprosertib
1557,LCL161
1558,Lapatinib
1559,Luminespib
1560,Alpelisib
1561,Taselisib
1563,EPZ5676
1564,SCH772984
1576,IWP-2
1578,Leflunomide
1580,GSK2801
1581,Bromosporine
1582,SGC-CBP30
1583,GSK-LSD1
1584,BDOCA000347a
1585,BDF00022089a
1586,BDILV000379a
1593,Entinostat
1594,OSI-027
1598,LGK974
1613,VE-822
1614,WZ4003
1615,CZC24832
1617,AZD5582
1618,GSK2606414
1620,PFI3
1621,PCI-34051
1622,Wnt-C59
1624,I-BET-762
1625,RVX-208
1626,OTX015
1627,GSK343
1629,ML323
1630,Entospletinib
1631,PRT062607
1632,Ribociclib
1634,AGI-6780
1635,Picolinici-acid
1706,AZD5153
1708,CDK9_5576
1709,CDK9_5038
1712,Eg5_9814
1713,ERK_2440
1714,ERK_6604
1716,IRAK4_4710
1718,JAK1_8709
1720,AZD5991
1730,PAK_5339
1732,TAF1_5496
1733,ULK1_4989
1734,VSP34_8731
1738,IGF1R_3801
1739,JAK_8517
1776,GSK2256098C
1777,GSK2276186C
1778,GSK2110183B
1779,GSK626616AC
1780,GSK3337463A
1782,GSK2830371A
1783,LMB_AB1
1784,LMB_AB2
1785,LMB_AB3
1786,AZD4547
1799,Ibrutinib
1802,Zoledronate
1803,Acetalax
1808,Topotecan
1809,Teniposide
1810,Mitoxantrone
1811,Dactinomycin
1812,Bleomycin
1813,Fludarabine
1814,Nelarabine
1815,Dacarbazine
1817,Romidepsin
1820,123829
1821,765771
1824,123138
1825,Podophyllotoxin bromide
1826,50869
1827,Dihydrorotenone
1828,720427
1829,667880
1830,Gallibiscoquinazole
1831,L-Oxonoreleagnine
1832,729189
1833,741909
1834,743380
1835,Elephantin
1836,150412
1838,Sinularin
1839,615590
1840,630600
1843,LMP744
1844,776928
1845,Schweinfurthin A
1847,BEN
1849,Sabutoclax
1852,LY2109761
1853,OF-1
1854,MN-64
1855,KRAS (G12C) Inhibitor-12
1862,MG-132
1866,BDP-00009066
1873,Buparlisib
1908,Ulixertinib
1909,Venetoclax
1910,ABT737
1912,Afuresertib
1913,AGI-5198
1915,AZD3759
1916,AZD5363
1917,AZD6738
1918,AZD8186
1919,Osimertinib
1922,Cediranib
1924,Ipatasertib
1925,GDC0810
1926,GNE-317
1927,GSK2578215A
1928,I-BRD9
1930,Telomerase Inhibitor IX
1931,MIRA-1
1932,NVP-ADW742
1933,P22077
1936,Savolitinib
1939,UMI-77
1940,WIKI4
1941,Sepantronium bromide
1996,MIM1
1997,WEHI-539
1998,BPD-00008900
1999,N25720-51-A1
2000,N27922-53-1
2002,N30652-18-1
2003,N29087-69-1
2010,HKMTI-1-005
2011,ICL-SIRT078
2038,UNC0638
2039,AGK2
2040,Foretinib
2043,BIBR-1532
2044,Pyridostatin
2045,AMG-319
2046,MK-8776
2048,Vinorelbine
2055,Mycophenolic acid
2057,Remodelin
2096,VX-11e
2107,LJI308
2109,AZ6102
2110,GSK591
2111,VE821
2112,VTP-A
2113,VTP-B
2145,PBD-288
2148,POMHEX
2149,CT7033-2
2154,GSK-LSD1-2HCl 
2156,5-azacytidine
2157,A-366
2158,CPI-637
2159,UNC0379
2169,AZD6482
2170,AT13148
2171,BMS-754807
2172,JQ1
2173,PFI-1
2174,IOX2
2175,CHIR-99021
2177,SGC0946
2359,GSK2830371
2360,THR-101
2361,THR-102
2362,THR-103
2438,ascorbate (vitamin C)
2439,glutathione
2498,alpha-lipoic acid
2499,N-acetyl cysteine
